,id,player_name,position,games,season,team,goals,shots,xG,assists,xA,key_passes,yellow,red,npg,npxG,xGChain,xGBuildup
655,6249,Davinson Sánchez,DC,29,2019,Tottenham,0,7,0.7553703747689724,0,0.03628891706466675,1,6,0,0,0.7553703747689724,7.255796818062663,7.219507900997996
656,6249,Davinson Sánchez,DC,23,2018,Tottenham,1,14,1.6245934972539544,1,0.6246804660186172,4,2,0,1,1.6245934972539544,6.161563603207469,6.136755166575313
657,6249,Davinson Sánchez,Sub,31,2017,Tottenham,0,9,0.5712868580594659,0,0.12518768198788166,4,1,1,0,0.5712868580594659,7.701586965471506,7.640087593346834
658,6441,Ferrán Torres,FW,4,2021,Manchester City,2,13,2.512166380882263,1,0.021644435822963715,1,0,0,2,2.512166380882263,2.4304773956537247,1.177093531936407
659,6441,Ferrán Torres,FWR,1,2021,Barcelona,0,1,0.037999849766492844,1,0.5021960735321045,1,0,0,0,0.037999849766492844,0.6029148697853088,0.5649150013923645
660,6441,Ferrán Torres,Sub,24,2020,Manchester City,7,36,5.7287076292559505,2,2.202425992116332,18,1,0,7,5.7287076292559505,10.002996038645506,2.9583620112389326
661,6441,Ferrán Torres,Sub,34,2019,Valencia,4,33,4.0220609633252025,5,5.062216940335929,24,5,0,4,4.0220609633252025,11.733029873110354,3.4818019988015294
662,6441,Ferrán Torres,Sub,24,2018,Valencia,2,17,1.3844252061098814,1,1.8189218640327454,16,5,0,2,1.3844252061098814,5.349309906363487,3.1448618452996016
663,6441,Ferrán Torres,Sub,13,2017,Valencia,0,3,0.43944734148681164,1,0.6938420012593269,4,0,0,0,0.43944734148681164,1.4128667116165161,0.2795773781836033
664,6615,Trevoh Chalobah,DC,14,2021,Chelsea,2,4,0.6108458805829287,0,0.04631999880075455,1,1,0,2,0.6108458805829287,3.975093960762024,3.9549223482608795
665,6615,Trevoh Chalobah,Sub,29,2020,Lorient,2,14,2.3505291622132063,2,0.7462747823446989,8,5,0,2,2.3505291622132063,6.253643602132797,5.5266297943890095
666,6681,Harvey Barnes,AML,16,2021,Leicester,2,30,3.000389251857996,3,1.9932186268270016,14,2,0,2,3.000389251857996,6.608747027814388,2.354929819703102
667,6681,Harvey Barnes,ML,25,2020,Leicester,9,56,6.697319919243455,4,1.7716880273073912,26,0,0,9,6.697319919243455,8.893774410709739,1.5948405284434557
668,6681,Harvey Barnes,Sub,36,2019,Leicester,6,61,8.48061983473599,8,4.085434272885323,35,0,0,6,8.48061983473599,17.09378569200635,6.487783459946513
669,6681,Harvey Barnes,Sub,16,2018,Leicester,1,40,3.6233876645565033,2,1.933094335719943,17,0,0,1,3.6233876645565033,7.837974512949586,3.3486895114183426
670,6681,Harvey Barnes,Sub,3,2017,Leicester,0,1,0.05426165834069252,0,0,0,0,0,0,0.05426165834069252,0.1033472940325737,0.1033472940325737
671,6817,Fred,DMC,18,2021,Manchester United,2,9,0.3907703999429941,3,1.97369500156492,19,4,0,2,0.3907703999429941,5.394273027777672,3.803057269193232
672,6817,Fred,Sub,30,2020,Manchester United,1,25,1.733165263198316,0,2.232571354135871,24,5,0,1,1.733165263198316,13.519705224782228,10.688638936728239
673,6817,Fred,Sub,29,2019,Manchester United,0,40,1.5917400578036904,0,2.3141325432807207,35,8,0,0,1.5917400578036904,12.03324669599533,9.726845286786556
674,6817,Fred,MC,17,2018,Manchester United,1,17,0.9045916921459138,1,0.9538169438019395,12,2,0,1,0.9045916921459138,7.189614643342793,5.615097049623728
675,6851,Conor Coady,DC,21,2021,Wolverhampton Wanderers,2,7,1.6233604941517115,0,0,0,1,0,2,1.6233604941517115,3.280251832678914,3.280251832678914
676,6851,Conor Coady,DC,37,2020,Wolverhampton Wanderers,1,7,1.445029648952186,0,0.19623830169439316,3,5,0,1,1.445029648952186,5.043202904053032,4.87485118303448
